GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
configuration,com.hanse.monitoring.config,DataLoader,75,16,1,1,36,6,1,3,0,3
configuration,com.hanse.monitoring.domain,Configuration,6,74,0,0,2,9,2,15,2,15
configuration,com.hanse.monitoring.domain,Configuration.ConfigurationBuilder,18,56,0,0,0,1,1,9,1,9
configuration,com.hanse.monitoring,ConfigurationApplication,5,3,0,0,2,1,1,1,1,1
configuration,com.hanse.monitoring.handler,ErrorResponse,0,6,0,0,0,1,0,1,0,1
configuration,com.hanse.monitoring.handler,GlobalExceptionHandler,0,73,0,0,0,23,0,6,0,6
configuration,com.hanse.monitoring.exception,MaxConfigurationsException,72,9,16,0,1,2,12,2,4,2
configuration,com.hanse.monitoring.controller,ConfigurationRequest,0,15,0,0,0,1,0,1,0,1
configuration,com.hanse.monitoring.controller,ConfigurationMapper,1,48,2,6,0,17,2,5,0,3
configuration,com.hanse.monitoring.controller,ConfigurationController,0,38,0,0,0,7,0,6,0,6
configuration,com.hanse.monitoring.controller,ConfigurationResponse,0,18,0,0,0,1,0,1,0,1
configuration,com.hanse.monitoring.service,ConfigurationService,27,235,12,14,6,52,14,12,2,11
